"firstname";"sex";"spread";"med";"count";"position";"year"
"'evna";"w";0;1;1;1;2010
"Ömür";"m";0;1;1;1;2016
"Ömür";"m";0;1;1;1;2018
"Ömür";"w";0;1;1;1;2011
"Ömür";"w";0;1;1;1;2012
"Ömer";"m";3;16;15;1;2010
"Ömer";"m";3;16;11;1;2011
"Ömer";"m";3;16;15;1;2012
"Ömer";"m";3;16;16;1;2013
"Ömer";"m";3;16;19;1;2014
"Ömer";"m";3;16;16;1;2015
"Ömer";"m";3;16;18;1;2016
"Ömer";"m";3;16;23;1;2017
"Ömer";"m";3;16;18;1;2018
"Ömer";"w";0;1;1;1;2017
"Ömer";"w";0;1;1;1;2018
"Ömer-Yusa";"m";0;1;1;1;2012
"Ömerali";"m";0;1;1;1;2012
"Ömerfaruk";"m";0;1;1;1;2013
"Ömerhan";"m";0;1;1;1;2014
"Önder";"m";0.5;1.5;2;1;2010
"Önder";"m";0.5;1.5;1;1;2015
"Öskan";"m";0;1;1;1;2015
"Övgü";"w";0;1;1;1;2011
"Öykü";"w";0.5;1;1;1;2016
"Öykü";"w";0.5;1;1;1;2017
"Öykü";"w";0.5;1;2;1;2018
"Öykü-Su";"w";0;1;1;1;2014
"Özay";"m";0;1;1;1;2013
"Özcan";"m";0;1;2;1;2010
"Özcan";"m";0;1;1;1;2012
"Özcan";"m";0;1;1;1;2013
"Özcan";"m";0;1;1;1;2015
"Özcan";"m";0;1;1;1;2016
"Özgül";"w";0;1;1;1;2012
"Özgür";"m";0.75;1;1;1;2012
"Özgür";"m";0.75;1;1;1;2014
"Özgür";"m";0.75;1;1;1;2016
"Özgür";"m";0.75;1;4;1;2018
"Özgür";"w";0;1;1;1;2010
"Özge";"w";0.5;1;1;1;2011
"Özge";"w";0.5;1;1;1;2013
"Özge";"w";0.5;1;2;1;2017
"Özgesu";"w";0;1;1;1;2011
"Özgesu";"w";0;1;1;1;2015
"Özhan";"m";0;1;1;1;2014
"Özkan";"m";0;1;1;1;2015
"Özkan";"m";0;1;1;1;2016
"Özkan";"m";0;1;1;1;2017
"Özlem";"w";0.5;1.5;2;1;2011
"Özlem";"w";0.5;1.5;1;1;2016
"Öznur";"w";0;1;1;1;2011
"Šaban";"m";0;1;1;1;2018
"Šaha";"w";0;1;1;1;2018
"Šaripovna";"w";0;1;1;1;2011
"Šefik";"m";0;1;1;1;2010
"Šejla";"w";0;1;1;1;2011
"Šejla";"w";0;1;1;1;2012
"Šemsad";"m";0;1;1;1;2015
"Šerif";"m";0;1;1;1;2018
"Šerijan";"w";0;1;1;1;2012
"Šime";"m";0;1;1;1;2012
"Šimo";"m";0;1;1;1;2013
"Širvanievna";"w";0;1;1;1;2015
"Øster";"w";0;1;1;1;2012
"Øster";"w";0;1;1;1;2015
"Âmine";"w";0;1;1;1;2012
"Âna";"w";0;2;2;1;2010
"Óscar";"m";0;1;1;1;2010
"Óscar";"m";0;1;1;1;2016
"Äneas";"m";0;1;1;1;2010
"Änne";"w";0;1;1;1;2010
"Änne";"w";0;1;1;1;2011
"Änne";"w";0;1;1;1;2012
"Änne";"w";0;1;1;1;2013
"Änne";"w";0;1;1;1;2015
"Änne";"w";0;1;1;1;2018
"Änni";"w";0;2;2;1;2016
"Ärgellés";"w";0;1;1;1;2010
"Äschly";"m";0;1;1;1;2014
"Ässia";"w";0;1;1;1;2015
"İbrahim";"m";2;2;2;1;2010
"İbrahim";"m";2;2;2;1;2011
"İbrahim";"m";2;2;4;1;2012
"İbrahim";"m";2;2;4;1;2013
"İbrahim";"m";2;2;1;1;2014
"İbrahim";"m";2;2;4;1;2015
"İbrahim";"m";2;2;2;1;2016
"İbrahim";"m";2;2;2;1;2017
"İbrahim";"m";2;2;2;1;2018
"İbrahim-Raúl";"m";0;1;1;1;2010
"İbrahimhalih";"m";0;1;1;1;2011
"İclâl";"w";0;1;1;1;2011
"İdil";"w";0;1;1;1;2013
"İdil";"w";0;1;1;1;2016
"İhsan";"m";0;1;1;1;2010
"İhsan";"m";0;1;2;1;2011
"İhsan";"m";0;1;1;1;2012
"İhsan";"m";0;1;1;1;2014
"İhsan";"m";0;1;1;1;2015
"İhsan";"m";0;1;1;1;2018
"İkbal";"w";0;1;1;1;2010
"İkra";"w";2;1;1;1;2011
"İkra";"w";2;1;4;1;2012
"İkra";"w";2;1;1;1;2013
"İkra";"w";2;1;2;1;2014
"İkra";"w";2;1;4;1;2015
"İkra";"w";2;1;1;1;2016
"İkra";"w";2;1;1;1;2018
"İkra-Sultan";"w";0;1;1;1;2017
"İkram";"m";0;2;2;1;2011
"İkranur";"w";0;1;1;1;2014
"İla";"w";0;1;1;1;2013
"İlça";"w";0;1;1;1;2018
"İlay";"m";0;1;1;1;2012
"İlay";"m";0;1;1;1;2015
"İlay";"w";0;1;1;1;2013
"İlay";"w";0;1;1;1;2016
"İlaya";"w";0;1;1;1;2011
"İlaya";"w";0;1;1;1;2013
"İlaya";"w";0;1;1;1;2014
"İlayda";"w";2.5;2;6;1;2010
"İlayda";"w";2.5;2;5;1;2011
"İlayda";"w";2.5;2;2;1;2013
"İlayda";"w";2.5;2;3;1;2014
"İlayda";"w";2.5;2;1;1;2015
"İlayda";"w";2.5;2;2;1;2016
"İlayda";"w";2.5;2;1;1;2018
"İley";"w";0;1;1;1;2010
"İleyna";"w";0;1;1;1;2015
"İlham";"m";0;1;1;1;2015
"İlhan";"m";0.25;1;2;1;2010
"İlhan";"m";0.25;1;1;1;2012
"İlhan";"m";0.25;1;1;1;2013
"İlhan";"m";0.25;1;1;1;2015
"İlian";"m";0;1;1;1;2010
"İlkan";"m";0;1;1;1;2010
"İlkay";"m";0;1;1;1;2011
"İlkay";"m";0;1;1;1;2012
"İlkay";"m";0;1;1;1;2014
"İlkay";"m";0;1;1;1;2015
"İlkay";"m";0;1;1;1;2017
"İlkay";"m";0;1;1;1;2018
"İlke";"w";0;1;1;1;2012
"İlker";"m";0;1;1;1;2012
"İlkimsu";"w";0;1;1;1;2015
"İlknur";"w";0;1;1;1;2015
"İlmicem";"m";0;1;1;1;2018
"İlsu";"w";0;1;1;1;2017
"İlyas";"m";2.25;2;1;1;2010
"İlyas";"m";2.25;2;2;1;2012
